year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
2014,MF,26797,23021,7515.0,3557.0,886.0,217.0,1913,15905,16227,16138.0,16092.0,14952.0,1190.0,1176.0,2022.0,53.0,28036
2014,F,14042,11623,3883.0,1482.0,363.0,145.0,1313,6175,7758,7900.0,8189.0,7914.0,773.0,846.0,1440.0,31.0,10249
2014,M,12755,11398,3632.0,2075.0,523.0,72.0,600,9730,8469,8238.0,7903.0,7038.0,417.0,330.0,582.0,22.0,17787
2015,MF,27288,23512,7740.0,4039.0,1235.0,489.0,1549,15297,15611,15425.0,15842.0,14690.0,1173.0,1262.0,2106.0,59.0,29295
2015,F,14423,11860,4062.0,1693.0,522.0,330.0,1015,6022,7465,7585.0,8177.0,7736.0,765.0,905.0,1483.0,40.0,11267
2015,M,12865,11652,3678.0,2346.0,713.0,159.0,534,9275,8146,7840.0,7665.0,6954.0,408.0,357.0,623.0,19.0,18028
2016,MF,27702,23495,7827.0,5230.0,1381.0,896.0,1443,14671,14866,14662.0,15035.0,13915.0,1150.0,1311.0,2390.0,50.0,27519
2016,F,14617,11633,4047.0,2306.0,551.0,609.0,1010,5766,7243,7115.0,7661.0,7343.0,741.0,946.0,1745.0,31.0,10346
2016,M,13085,11862,3780.0,2924.0,830.0,287.0,433,8905,7623,7547.0,7374.0,6572.0,409.0,365.0,645.0,19.0,17173
2017,MF,28134,22934,7979.0,6138.0,1545.0,1451.0,1122,14298,14599,14239.0,14734.0,13566.0,1241.0,1330.0,2537.0,39.0,28508
2017,F,14600,11079,4193.0,2626.0,603.0,1011.0,804,5611,7304,6802.0,7398.0,7022.0,783.0,987.0,1830.0,24.0,10804
2017,M,13534,11855,3786.0,3512.0,942.0,440.0,318,8687,7295,7437.0,7336.0,6544.0,458.0,343.0,707.0,15.0,17704
2018,MF,29037,22813,8182.0,6951.0,1658.0,2049.0,1309,14337,14543,14248.0,14715.0,13142.0,1294.0,1339.0,2484.0,43.0,28367
2018,F,14981,10896,4486.0,2905.0,626.0,1399.0,924,5559,7469,6688.0,7304.0,6703.0,842.0,981.0,1785.0,28.0,10707
2018,M,14056,11917,3696.0,4046.0,1032.0,650.0,385,8778,7074,7560.0,7411.0,6439.0,452.0,358.0,699.0,15.0,17660
2019,MF,30033,23063,8656.0,7714.0,1730.0,2601.0,1323,14209,14233,14142.0,14522.0,12627.0,1277.0,1235.0,2377.0,50.0,27968
2019,F,15440,11120,4855.0,3128.0,624.0,1683.0,948,5520,7431,6718.0,7175.0,6364.0,844.0,909.0,1706.0,32.0,10658
2019,M,14593,11943,3801.0,4586.0,1106.0,918.0,375,8689,6802,7424.0,7347.0,6263.0,433.0,326.0,671.0,18.0,17310
2020,MF,30420,23758,9144.0,8201.0,1406.0,3153.0,1206,13568,13637,13535.0,13968.0,12225.0,1231.0,1168.0,2312.0,46.0,27825
2020,F,15262,11499,5276.0,3423.0,518.0,2014.0,852,5238,7205,6382.0,6966.0,6064.0,809.0,868.0,1644.0,29.0,10770
2020,M,15158,12259,3868.0,4778.0,888.0,1139.0,354,8330,6432,7153.0,7002.0,6161.0,422.0,300.0,668.0,17.0,17055
2021,MF,31191,24074,9580.0,9015.0,1429.0,3656.0,1154,12880,12996,12984.0,13268.0,11668.0,1205.0,1166.0,2117.0,236.0,27862
2021,F,15693,11352,5512.0,3725.0,534.0,2312.0,781,4972,6943,6044.0,6589.0,5719.0,787.0,865.0,1523.0,177.0,10957
2021,M,15498,12722,4068.0,5290.0,895.0,1344.0,373,7908,6053,6940.0,6679.0,5949.0,418.0,301.0,594.0,59.0,16905
2022,MF,30842,23876,9883.0,9688.0,1409.0,3910.0,1319,12391,12500,12481.0,12815.0,11704.0,1200.0,1140.0,2049.0,433.0,27570
2022,F,15405,11085,5512.0,4062.0,502.0,2394.0,908,4800,6735,5826.0,6399.0,5608.0,784.0,846.0,1503.0,334.0,10976
2022,M,15437,12791,4371.0,5626.0,907.0,1516.0,411,7591,5765,6655.0,6416.0,6096.0,416.0,294.0,546.0,99.0,16594
